genetic_id,group_id,locality,country,lat,lon,continent,is_modern,date_bp,date_sd,full_date,coverage,snps_hit,mol_sex,assessment,angsd_contam,hapconx_contam,damage,y_hap,mt_hap,flags,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP,high_conf,over
Loschbour.AG,Luxembourg_Loschbour_Mesolithic,Loschbour (Echternach),Luxembourg,49.81,6.4,Eurasia,False,8025.0,64.0,"6221-5986 calBCE (7205±50 BP, OxA-7738)",3.36425934,463455.0,M,Pass,..,"[0.005,0.012]",,I-V6473,U5b1a,,0.029227,0.005625,206599,0.020313,0.004744,4.282,447680,0.003175,0.00652,0.487,348007,True,False
Kou01.SG,Greece_EpanoKoufonisi_EBA_Cycladic,"Potamia (Cyclades, Epano Koufonisi)",Greece,36.937529,25.60652,Eurasia,False,4250.0,173.0,2600-2000 BCE,2.67758524,1033440.0,U,Pass,n/a (unknown sex),n/a (unknown sex),,n/a (sex unknown),..,,0.023488,0.005667,458533,0.015376,0.005438,2.827,987814,0.0016,0.006368,0.251,502827,True,False
Kou03.SG,Greece_EpanoKoufonisi_EBA_Cycladic,"Potamia (Cyclades, Epano Koufonisi)",Greece,36.937529,25.60652,Eurasia,False,4250.0,173.0,2600-2000 BCE,3.37016215,1072759.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,,0.021531,0.004736,474744,0.016101,0.004405,3.655,1025141,-0.005335,0.005145,-1.037,529244,True,False
Log02.SG,Greece_ElatiLogkassite_MBA,"Elati-Logkas site (Kozani, Elati)",Greece,39.980392,21.823641,Eurasia,False,4250.0,173.0,2600-2000 BCE,5.26035446,1141145.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,,0.014214,0.005765,502550,0.01033,0.004759,2.17,1090114,-0.0097,0.005492,-1.766,557158,True,False
Log04.SG,Greece_ElatiLogkassite_MBA,"Elati-Logkas site (Kozani, Elati)",Greece,39.980392,21.823641,Eurasia,False,4250.0,173.0,2600-2000 BCE,5.6578423,1138096.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,,0.020828,0.004373,501340,0.015447,0.004213,3.666,1087230,-0.003609,0.004897,-0.737,556151,True,False
Mik15.SG,Greece_Manika_EBA,"Manika (Euboea Island, north of Chalkis)",Greece,38.498226,23.626147,Eurasia,False,4250.0,173.0,2600-2000 BCE,3.94474462,1076504.0,F,Pass,n/a (female),n/a (female),,n/a (female),..,,0.019807,0.004124,477813,0.010099,0.003498,2.887,1028849,-0.003878,0.005398,-0.718,528609,True,False
Pta08.SG,Greece_Crete_KephalaPetrasSiteias,"Kephala Petras Siteias (Crete, Petras)",Greece,35.197343,26.11498,Eurasia,False,4250.0,173.0,2600-2000 BCE,4.82049539,1128313.0,U,Pass,n/a (unknown sex),n/a (unknown sex),,n/a (sex unknown),..,,0.01452,0.005229,497623,0.008832,0.004138,2.134,1077996,-0.005359,0.00589,-0.91,551759,True,False
cay004.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,Eurasia,False,8396.0,58.0,6591-6269 calBCE (7593±55 BP),0.09875904,83724.0,F,Pass,n/a (female),n/a (female),,n/a (female),K1a,low_power,0.026424,0.017253,38816,0.007001,0.011191,0.626,79921,0.004715,0.017581,0.268,41061,False,False
cay008.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,Eurasia,False,8541.0,139.0,7031-6279 calBCE (7720±112 BP),0.10842236,93395.0,F,Pass,n/a (female),n/a (female),,n/a (female),T2g,low_power,0.034774,0.01252,43031,0.027656,0.009474,2.919,89153,0.01091,0.016186,0.674,46977,False,False
cay013.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,Eurasia,False,8600.0,260.0,7100-6200 BCE,0.19123548,155759.0,F,Pass,n/a (female),n/a (female),,n/a (female),K1a12a,low_power,0.035188,0.00997,71714,0.017511,0.007995,2.19,148666,-0.006934,0.01355,-0.512,78460,False,False
cay016.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,Eurasia,False,10550.0,173.0,8900-8300 BCE,0.05169041,44979.0,F,Pass,n/a (female),n/a (female),,n/a (female),n/a (<2x),low_power,0.027146,0.019226,21012,0.016487,0.015267,1.08,43006,-0.006708,0.023712,-0.283,22183,False,False
cay033.SG,Turkey_PPN,"Boncuklu (Konya, Karatay)",Turkey,38.2153,39.7526,Eurasia,False,10100.0,953.0,9800-6500 BCE,0.09424416,32036.0,U,Pass,n/a (unknown sex),n/a (unknown sex),,n/a (sex unknown),n/a (<2x),low_power,0.021049,0.019465,16612,0.011938,0.018615,0.641,30499,0.062211,0.027154,2.291,15688,False,False
