sample_id	population_label	category	locality	country	lat	lon	date_bp	date_sd	coverage	snps_1240k	mol_sex	assessment	publication	publication_doi	usable_ancient
Loschbour.AG	Luxembourg_Loschbour_Mesolithic	West_Eurasian_control	Loschbour (Echternach)	Luxembourg	49.81	6.4	8025.0	64.0	3.36425934	463455.0	M	Pass	LazaridisKrauseNature2014	https://doi.org/10.1038/nature25778	True
Kou01.SG	Greece_EpanoKoufonisi_EBA_Cycladic	West_Eurasian_control	Potamia (Cyclades, Epano Koufonisi)	Greece	36.937529	25.60652	4250.0	173.0	2.67758524	1033440.0	U	Pass	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	True
Kou03.SG	Greece_EpanoKoufonisi_EBA_Cycladic	West_Eurasian_control	Potamia (Cyclades, Epano Koufonisi)	Greece	36.937529	25.60652	4250.0	173.0	3.37016215	1072759.0	F	Pass	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	True
Log02.SG	Greece_ElatiLogkassite_MBA	Philippine_Negrito	Elati-Logkas site (Kozani, Elati)	Greece	39.980392	21.823641	4250.0	173.0	5.26035446	1141145.0	F	Pass	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	True
Log04.SG	Greece_ElatiLogkassite_MBA	Philippine_Negrito	Elati-Logkas site (Kozani, Elati)	Greece	39.980392	21.823641	4250.0	173.0	5.6578423	1138096.0	F	Pass	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	True
Mik15.SG	Greece_Manika_EBA	West_Eurasian_control	Manika (Euboea Island, north of Chalkis)	Greece	38.498226	23.626147	4250.0	173.0	3.94474462	1076504.0	F	Pass	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	True
Pta08.SG	Greece_Crete_KephalaPetrasSiteias	West_Eurasian_control	Kephala Petras Siteias (Crete, Petras)	Greece	35.197343	26.11498	4250.0	173.0	4.82049539	1128313.0	U	Pass	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	True
cay004.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	8396.0	58.0	0.09875904	83724.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	True
cay008.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	8541.0	139.0	0.10842236	93395.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	True
cay011.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	8369.0	40.0	0.04683832	23943.0	M	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay012.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	10100.0	953.0	0.05088042	25796.0	M	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay013.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	8600.0	260.0	0.19123548	155759.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	True
cay014.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	8908.0	257.0	0.05239958	17719.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay015.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	10100.0	953.0	0.02075195	13799.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay016.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	10550.0	173.0	0.05169041	44979.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	True
cay1820.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	10100.0	953.0	0.04355058	15198.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay022.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	7303.0	88.0	0.02010883	15946.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay027.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	8400.0	87.0	0.02642532	23407.0	F	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	False
cay033.SG	Turkey_PPN	West_Eurasian_control	Boncuklu (Konya, Karatay)	Turkey	38.2153	39.7526	10100.0	953.0	0.09424416	32036.0	U	Pass	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	True
AV1.AG	Hungary_Avar-5	West_Eurasian_control	Szólád (Somogy County, Kaposvár)	Hungary	46.2833333	17.85	1360.0	25.0	3.01575994	825101.0	F	Pass	AmorimVeeramahNatComm2018	https://doi.org/10.1038/s41467-018-06024-4	True
